Designator,Mid X,Mid Y,Rotation,Layer
C101,181.0,-53.1,0.0,bottom
C102,197.4,-46.6,270.0,bottom
C103,230.7,-128.5,90.0,bottom
C104,148.3,-127.6,270.0,bottom
C105,230.5,-119.0,90.0,bottom
C106,201.5,-53.6,180.0,bottom
C107,148.1,-117.3,90.0,bottom
C108,165.9,-112.2,180.0,bottom
C109,172.9,-119.5,180.0,bottom
C201,200.6,-61.7,180.0,bottom
C202,191.7,-62.2,180.0,bottom
C203,184.6,-66.7,270.0,bottom
C204,183.4,-63.2,90.0,bottom
C206,191.0,-54.0,270.0,bottom
C301,177.6,-127.7,270.0,bottom
C302,199.1,-131.6,90.0,bottom
C303,169.2,-67.6,0.0,bottom
C304,203.0,-67.6,0.0,bottom
C305,209.6,-67.6,0.0,bottom
C306,161.0,-70.0,270.0,bottom
C307,217.2,-69.7,270.0,bottom
C308,182.8,-72.4,270.0,bottom
C309,148.2,-69.1,270.0,bottom
D1001,175.0,-125.0,180.0,top
D1002,175.0,-122.5,180.0,top
D1003,175.0,-120.0,180.0,top
D1004,175.0,-117.5,180.0,top
D1005,175.0,-115.0,180.0,top
D1006,175.0,-112.5,180.0,top
D1007,175.0,-110.0,180.0,top
D1008,175.0,-107.5,180.0,top
D1009,175.0,-105.0,180.0,top
D1010,175.0,-102.5,180.0,top
D1011,175.0,-100.0,180.0,top
D1012,175.0,-97.5,180.0,top
D1013,175.0,-95.0,180.0,top
D1014,175.0,-92.5,180.0,top
D1015,175.0,-90.0,180.0,top
D1016,175.0,-87.5,180.0,top
D1017,175.0,-85.0,180.0,top
D1018,175.0,-82.5,180.0,top
D1019,175.0,-80.0,180.0,top
D1101,172.5,-125.0,180.0,top
D1102,172.5,-122.5,180.0,top
D1103,172.5,-120.0,180.0,top
D1104,172.5,-117.5,180.0,top
D1105,172.5,-115.0,180.0,top
D1106,172.5,-112.5,180.0,top
D1107,172.5,-110.0,180.0,top
D1108,172.5,-107.5,180.0,top
D1109,172.5,-105.0,180.0,top
D1110,172.5,-102.5,180.0,top
D1111,172.5,-100.0,180.0,top
D1112,172.5,-97.5,180.0,top
D1113,172.5,-95.0,180.0,top
D1114,172.5,-92.5,180.0,top
D1115,172.5,-90.0,180.0,top
D1116,172.5,-87.5,180.0,top
D1117,172.5,-85.0,180.0,top
D1118,172.5,-82.5,180.0,top
D1119,172.5,-80.0,180.0,top
D1201,167.5,-125.0,180.0,top
D1202,167.5,-122.5,180.0,top
D1203,167.5,-120.0,180.0,top
D1204,167.5,-117.5,180.0,top
D1205,167.5,-115.0,180.0,top
D1206,167.5,-112.5,180.0,top
D1207,167.5,-110.0,180.0,top
D1208,167.5,-107.5,180.0,top
D1209,167.5,-105.0,180.0,top
D1210,167.5,-102.5,180.0,top
D1211,167.5,-100.0,180.0,top
D1212,167.5,-97.5,180.0,top
D1213,167.5,-95.0,180.0,top
D1214,167.5,-92.5,180.0,top
D1215,167.5,-90.0,180.0,top
D1216,167.5,-87.5,180.0,top
D1217,167.5,-85.0,180.0,top
D1218,167.5,-82.5,180.0,top
D1219,167.5,-80.0,180.0,top
D1301,160.0,-125.0,180.0,top
D1302,160.0,-122.5,180.0,top
D1303,160.0,-120.0,180.0,top
D1304,160.0,-117.5,180.0,top
D1305,160.0,-115.0,180.0,top
D1306,160.0,-112.5,180.0,top
D1307,160.0,-110.0,180.0,top
D1308,160.0,-107.5,180.0,top
D1309,160.0,-105.0,180.0,top
D1310,160.0,-102.5,180.0,top
D1311,160.0,-100.0,180.0,top
D1312,160.0,-97.5,180.0,top
D1313,160.0,-95.0,180.0,top
D1314,160.0,-92.5,180.0,top
D1315,160.0,-90.0,180.0,top
D1316,160.0,-87.5,180.0,top
D1317,160.0,-85.0,180.0,top
D1318,160.0,-82.5,180.0,top
D1319,160.0,-80.0,180.0,top
D1401,165.0,-125.0,180.0,top
D1402,165.0,-122.5,180.0,top
D1403,165.0,-120.0,180.0,top
D1404,165.0,-117.5,180.0,top
D1405,165.0,-115.0,180.0,top
D1406,165.0,-112.5,180.0,top
D1407,165.0,-110.0,180.0,top
D1408,165.0,-107.5,180.0,top
D1409,165.0,-105.0,180.0,top
D1410,165.0,-102.5,180.0,top
D1411,165.0,-100.0,180.0,top
D1412,165.0,-97.5,180.0,top
D1413,165.0,-95.0,180.0,top
D1414,165.0,-92.5,180.0,top
D1415,165.0,-90.0,180.0,top
D1416,165.0,-87.5,180.0,top
D1417,165.0,-85.0,180.0,top
D1418,165.0,-82.5,180.0,top
D1419,165.0,-80.0,180.0,top
D1501,162.5,-125.0,180.0,top
D1502,162.5,-122.5,180.0,top
D1503,162.5,-120.0,180.0,top
D1504,162.5,-117.5,180.0,top
D1505,162.5,-115.0,180.0,top
D1506,162.5,-112.5,180.0,top
D1507,162.5,-110.0,180.0,top
D1508,162.5,-107.5,180.0,top
D1509,162.5,-105.0,180.0,top
D1510,162.5,-102.5,180.0,top
D1511,162.5,-100.0,180.0,top
D1512,162.5,-97.5,180.0,top
D1513,162.5,-95.0,180.0,top
D1514,162.5,-92.5,180.0,top
D1515,162.5,-90.0,180.0,top
D1516,162.5,-87.5,180.0,top
D1517,162.5,-85.0,180.0,top
D1518,162.5,-82.5,180.0,top
D1519,162.5,-80.0,180.0,top
D1601,157.5,-125.0,180.0,top
D1602,157.5,-122.5,180.0,top
D1603,157.5,-120.0,180.0,top
D1604,157.5,-117.5,180.0,top
D1605,157.5,-115.0,180.0,top
D1606,157.5,-112.5,180.0,top
D1607,157.5,-110.0,180.0,top
D1608,157.5,-107.5,180.0,top
D1609,157.5,-105.0,180.0,top
D1610,157.5,-102.5,180.0,top
D1611,157.5,-100.0,180.0,top
D1612,157.5,-97.5,180.0,top
D1613,157.5,-95.0,180.0,top
D1614,157.5,-92.5,180.0,top
D1615,157.5,-90.0,180.0,top
D1616,157.5,-87.5,180.0,top
D1617,157.5,-85.0,180.0,top
D1618,157.5,-82.5,180.0,top
D1619,157.5,-80.0,180.0,top
D1701,150.0,-125.0,180.0,top
D1702,150.0,-122.5,180.0,top
D1703,150.0,-120.0,180.0,top
D1704,150.0,-117.5,180.0,top
D1705,150.0,-115.0,180.0,top
D1706,150.0,-112.5,180.0,top
D1707,150.0,-110.0,180.0,top
D1708,150.0,-107.5,180.0,top
D1709,150.0,-105.0,180.0,top
D1710,150.0,-102.5,180.0,top
D1711,150.0,-100.0,180.0,top
D1712,150.0,-97.5,180.0,top
D1713,150.0,-95.0,180.0,top
D1714,150.0,-92.5,180.0,top
D1715,150.0,-90.0,180.0,top
D1716,150.0,-87.5,180.0,top
D1717,150.0,-85.0,180.0,top
D1718,150.0,-82.5,180.0,top
D1719,150.0,-80.0,180.0,top
D1801,155.0,-125.0,180.0,top
